"hh_refno","Maize_yield","phosphorous","sulfur","pH","Clay","Ca","Mg","K","C_capacity","Al_exc","Al_sat","Mg_indicator","K_indicator","P_indicator","S_indicator","Ca_indicator","farmproc_ph_indicator","soil_fertility_indicator","C_deficit_indicator","N_PNB","P_PNB","K_PNB","N_added","P_added","K_added","N_PNBI","P_PNBI","K_PNBI","all_PNBI","lands_eplot","landscape_no","eplot_no","Carbon_storage","Water_storage","Nutrient_supply"
"TZA-L11-H19",2075.682,7.395944,11.58254633,5.909277333,67.69892267,4.2126698,2.131320959,0.427620963,56.5686748395974,0.288644433,4.0882997254368,0.004202270688,0.07283870816,0.0165528248,0.109928523711,0.0708054336,0.167,0.441327760959,0.218955636090999,100.4185299,-8.5102962,-9.9632736,135.2899875,0,0,0,0.255326751111111,0.333,0.588326751111111,"L11 _ 2","L11",2,0.10678259686634,0.64470378249968,0.782910879107482
"TZA-L11-H20",1864.51954545455,4.179583611,11.35044139,5.855832778,72.0976925,3.718088486,2.8908190275,0.662215584102564,28.8791828660615,0.2201715,2.9390313934585,0.02850620888,0.14790898691282,0,0.106052371213,0.054978831552,0.167,0.50444639855782,0,52.1692194416667,-4.35881453095238,-6.15856261428571,70.9294310416667,0,0,0.1665,0.30296793968254,0.333,0.80246793968254,"L11 _ 14","L11",14,0.145014923445238,0.595391510707928,0.397064878333146
"TZA-L11-H21",1680.314,11.126621,7.63156,6.233760667,39.97650633,5.072465833,1.804128562,0.43224843,59.8680538177604,0.322384067,4.2245378307119,0,0.0743194976,0.0415483607,0.043947052,0.098318906656,0.167,0.425133816956,0.328934924365169,45.1598115555556,-8.92072662255555,-9.73397580998333,82.9833502222222,0.310017933,1.07274952335,0.140619249382716,0.246206075054321,0.333,0.719825324437037,"L11 _ 8","L11",8,0.0709285962347042,0.608582083991594,0.653640996294048
"TZA-L11-H22",1868.1138,11.50344233,24.711816,5.992004333,60.16437467,4.7050375,2.119382828,0.970076517,61.1741712077379,0.466624033,5.64843487816109,0.003820250496,0.167,0.044073063611,0.167,0.0865612,0.167,0.635454514107,0.372472166344026,-2.96723684,27.92533605,-8.96694624,28.417075,35.58460263,0,0.333,0,0.333,0.666,"L11 _ 12","L11",12,0.45941420528363,0.652974413722681,0.253279276285118
"TZA-L11-H23",407.72325,4.632808333,11.187031,6.103105333,60.83623267,5.112373333,2.424095102,0.783448972,33.5110866522943,0.4226975,4.83490928625435,0.013571043264,0.167,0,0.1033234177,0.099595946656,0.167,0.55049040762,0,-7.5555618180602,-1.73413165083612,-2.55798302658863,0,0,0,0.333,0.333,0.333,0.999,"L11 _ 13","L11",13,0.153390693194213,0.57213458368154,0.164504317631713
"TZA-L11-H25",3094.18434782609,4.398980667,28.56589267,6.049506667,73.21269033,3.627492333,2.163611107,0.70372458,32.8592076555889,0.573050367,8.10781306104553,0.00523555542399999,0.167,0,0.167,0.052079754656,0.167,0.55831531008,0,47.1427225962733,-7.24324612732919,-10.3648268990683,78.4289782608696,0,0,0.1665,0.2477649352657,0.333,0.747264935265701,"L11 _ 6","L11",6,0.111187640764184,0.687962962962963,0.807523253160747
"TZA-L11-H26",864.8675,6.108994333,12.15051267,6.225685333,63.55025533,5.0204785,1.887349533,0.527199104,50.5987442023492,0.235503333,3.07023528452264,0,0.10470371328,0.0079302620311,0.119413561589,0.096655312,0.167,0.4957028489001,0.0199579680824922,68.8681635,-3.54595675,-4.151364,83.3979375,0,0,0,0.333,0.333,0.666,"L11 _ 11","L11",11,0.0730662689541929,0.636693079748333,0.470933993298419
"TZA-L11-H27",1676.51238461538,7.836918333,8.397116667,6.29578,47.84265533,6.109368333,2.17715433,0.319613019,51.3914026615914,0.2335155,2.64168229257171,0.00566893856,0.03827616608,0.0195073528311,0.0567318483389,0.131499786656,0.167,0.418684092466,0.0463799140817047,17.6060411692308,-6.87370077692308,-8.04725944615384,45.7714492307692,0,0,0.333,0.291695538290598,0.333,0.957695538290598,"L11 _ 2","L11",2,0.10678259686634,0.64470378249968,0.782910879107482
"TZA-L11-H28",1729.735,2.519718667,13.39295333,5.752124667,76.579467,2.7000104,1.16943775,0.310686918,28.721153293313,0.382569333,8.3847056345827,0,0.03541981376,0,0.140162320611,0.0224003328,0.167,0.364982467171,0,-11.9241890555556,-10.2438750555556,-11.9928293333333,30.0507136111111,0,0,0.232591161111111,0.21680277654321,0.333,0.782393937654321,"L11 _ 14","L11",14,0.145014923445238,0.595391510707928,0.397064878333146
"TZA-L11-H29",1482.63,20.023784,22.31361033,6.004379333,34.33245233,4.727217133,1.999744643,1.221595755,98.3632433425145,0.271136867,3.29862466743256,0,0.167,0.1011593528,0.167,0.087270948256,0.167,0.689430301056,1,15.122826,-6.078783,-7.116624,40.03101,0,0,0.333,0.309360377777778,0.333,0.975360377777778,"L11 _ 12","L11",12,0.45941420528363,0.652974413722681,0.253279276285118
"TZA-L11-H30",1285.718203125,8.163934,11.860494,5.358049333,59.933156,3.642058167,1.84497799,0.455801534,48.1774018304425,0.411129467,6.47043739409898,0,0.08185649088,0.0216983578,0.1145702498,0.052545861344,0.143294238611,0.413965198435,0,23.8968007070707,-3.91436784090909,-4.58267454545454,39.9361616161616,0,0,0.1665,0.324250281313131,0.333,0.823750281313131,"L11 _ 11","L11",11,0.0730662689541929,0.636693079748333,0.470933993298419
"TZA-L11-H31",1828.577,16.77337111,8.820168611,5.855996945,62.77814417,6.95081732,2.959974815,0.810874508461539,56.2848588429343,0.445203472,3.98682412705397,0.03071919408,0.167,0.079381586437,0.0637968158037,0.15842615424,0.167,0.6663237505607,0.209495103814946,-3.48450281086957,19.0322366020652,-5.97238012418478,16.1961211956522,23.7391839634783,0,0.333,0.128067102898551,0.333,0.794067102898551,"L11 _ 6","L11",6,0.111187640764184,0.687962962962963,0.807523253160747
"TZA-L18-H01",102.692987012987,111.2129423,10.52670633,7.029748,32.04767967,17.50910967,2.500351446,0.529479329,60.197947387244,0.391529833,1.87062128943914,0.016011246272,0.10543338528,0.167,0.092295995711,0.167,0.167,0.714740627263,0.339931375581642,5.05363599422799,0.733570237229437,3.02622540329004,6.01895007215007,0.954360159307359,3.30235543503608,0.333,0.333,0.333,0.999,"L18 _ 13","L18",13,0.339931375581642,0.349814368355804,0.486729892427871
"TZA-L18-H02",98.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4308842,-0.2915839,-0.49421,51.150735,0,0,0.16070492,0.333,0.333,0.82670492,"L18 _ 10","L18",10,0.197776422242109,0.440573090610324,0.331598341527239
"TZA-L18-H03",658.946666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.070304,162.7532372,-3.162944,0,165.454918533333,0,0.333,0,0.333,0.666,"L18 _ 5","L18",5,0.197776422242109,0.440573090610324,0.331598341527239
"TZA-L18-H04",898.563636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.0958690909091,-3.68411090909091,-4.31310545454545,0,0,0,0.333,0.333,0.333,0.999,"L18 _ 6","L18",6,0.519874667571474,0.564855287246409,0.389724987393375
"TZA-L18-H05",1235.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.96153,180.0456451,-13.244828,0,186.13678335,0,0.162462111111111,0,0.330060355555556,0.492522466666667,"L18 _ 2","L18",2,0.197776422242109,0.440573090610324,0.331598341527239
"TZA-L18-H06",2017.18367346939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.8307857142857,-12.123273877551,-27.9178220408163,57.9940306122449,0,0,0.124102380952381,0.175038358276644,0.187871319727891,0.487012058956916,"L18 _ 10","L18",10,0.197776422242109,0.440573090610324,0.331598341527239
"TZA-L18-H07",1729.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.822136,-13.62784075,-33.2768066666667,284.17075,0,0,0,0.143423183333333,0.1665,0.309923183333333,"L18 _ 1","L18",1,0.319279320504869,0.353841035213704,0.715762653863409
"TZA-L18-H08",3294.73333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.492178333333,-6.97659783333333,-8.549833,208.391883333333,0,0,0.1665,0.238628814814815,0.333,0.738128814814815,"L18 _ 6","L18",6,0.519874667571474,0.564855287246409,0.389724987393375
"TZA-L18-H10",768.771111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1758386296296,-1.64370585185185,-2.94329511111111,68.4114768518518,0,0,0,0.333,0.333,0.666,"L18 _ 4","L18",4,0.318394820766058,0.291645026234742,0.497480857112938
"TZA-L18-H14",1704.1724137931,14.65944967,5.709191333,6.329616667,33.22722433,7.072997,2.275317599,0.456487249,59.5783856729846,0.2274258,2.26695214641924,0.008810163168,0.08207591968,0.065218312789,0.0118434952611,0.167,0.167,0.5019478908981,0.319279320504869,-51.1251724137931,-7.17456586206896,-14.7240496551724,0,0,0,0.118721685823755,0.285009647509578,0.326121823754789,0.729853157088123,"L18 _ 1","L18",1,0.319279320504869,0.353841035213704,0.715762653863409
